!!!! Amplitude, Center, Width, Frequency !!!!

2.0, 7.2, 0.5, 2.10
2.0, 7.2, 0.8, 2.70
2.0, 7.2, 1.0, 3.12
2.0, 7.5, 1.0, 2.60, ?
2.0, 7.6, 1.0, 2.45
2.0, 7.8, 1.0, 2.20 
2.0, 8.1, 0.9, 1.80, ?
2.0, 8.1, 1.0, 1.88
2.5, 7.6, 0.7, 2.12
2.5, 7.6, 1.0, 2.70
2.5, 7.6, 1.2, 3.12
2.5, 7.6, 1.5, 3.70
2.5, 8.3, 1.0, 1.88
2.5, 8.6, 1.0, 1.65, ?
2.5, 8.8, 1.0, 1.65, ?
2.5, 9.0, 1.0, 1.55, ?
3.0, 7.5, 1.0, 3.10, ?
3.0, 7.6, 1.0, 2.90
3.0, 9.0, 1.0, 1.68
3.0, 9.2. 1.0, 1.45, ?
3.0, 9.2, 1.2, 1.66
3.0, 9.5, 1.2, 1.45
3.0, 9.8, 1.0, 1.45, ?
3.0, 9.8, 1.2, 1.45
3.5, 7.5, 1.0, 3.10, ?
3.5, 7.6, 1.0, 2.95
3.5, 7.8, 1.0, 2.52
3.5, 8.0, 1.0, 2.30
3.5, 8.2, 1.0, 2.08
4.0, 7.8, 0.5, 1.85, ?
4.0, 8.5, 1.0, 1.90
4.0, 10.0, 1.0, 1.45
5.0, 7.8, 0.5, 1.88
5.0, 10.0, 1.0, 1.45
9.0, 10.0, 0.7, 1.5
9.0, 10.5, 1.0, 1.45 
